CIDADES;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
SAO MIGUEL DAS MISSOES;6;1;2;2;0;1;2;1;2;4;1;3
SAO NICOLAU;1;1;1;2;3;1;2;1;3;2;3;4
SAO PAULO DAS MISSOES;1;0;2;3;2;0;0;1;1;2;3;2
SAO PEDRO DA SERRA;0;0;0;1;2;0;0;0;0;0;2;1
SAO PEDRO DAS MISSOES;0;0;0;0;0;0;0;3;0;0;1;0
SAO PEDRO DO BUTIA;0;0;0;0;0;0;0;1;0;0;1;1
SAO PEDRO DO SUL;7;4;3;2;5;4;3;2;4;2;4;9
SAO SEBASTIAO DO CAI;6;6;12;4;3;7;9;9;8;11;6;7
SAO SEPE;9;8;10;6;7;7;7;10;9;1;1;3
SAO VALENTIM;1;1;2;2;0;0;0;3;0;2;2;0
SAO VALENTIM DO SUL;0;1;0;0;1;0;0;0;0;0;0;0
SAO VALERIO DO SUL;0;0;0;0;0;0;0;0;3;0;0;0
SAO VENDELINO;1;0;0;0;0;0;0;0;1;0;0;0
SAO VICENTE DO SUL;2;4;2;4;2;1;1;5;0;1;0;3
SAPIRANGA;28;22;31;24;23;28;22;23;29;20;15;27
SAPUCAIA DO SUL;41;23;28;31;43;33;38;27;34;41;38;36
SARANDI;6;5;10;6;8;7;3;4;5;12;6;8
SEBERI;9;8;4;3;7;6;3;6;6;3;3;6
SEDE NOVA;2;0;0;1;0;0;0;0;0;0;1;0
SEGREDO;2;4;3;1;0;2;3;1;3;3;3;2
SELBACH;2;1;3;3;1;2;3;0;0;1;1;1
SENADOR SALGADO FILHO;1;0;0;0;1;0;1;3;0;1;0;0
SENTINELA DO SUL;3;1;1;0;0;1;0;1;2;1;1;1
SERAFINA CORREA;5;4;2;2;4;2;2;2;2;3;0;3
SERIO;0;0;1;0;0;0;0;0;0;0;0;0
SERTAO;1;2;3;2;2;2;1;1;5;1;2;0
SERTAO SANTANA;0;1;0;3;0;0;1;1;0;1;4;2
SETE DE SETEMBRO;0;0;0;0;0;0;0;0;1;0;1;0
SEVERIANO DE ALMEIDA;0;3;1;1;0;0;0;2;1;1;1;1
SILVEIRA MARTINS;0;2;1;0;0;0;0;0;0;1;0;0
SINIMBU;0;1;1;0;2;1;1;1;1;2;1;0
SOBRADINHO;9;11;9;7;5;2;10;10;11;11;2;7
SOLEDADE;24;15;19;26;17;18;17;9;12;10;13;14
TABAI;3;1;2;2;1;3;2;1;0;0;1;1
TAPEJARA;9;9;7;5;5;5;10;5;6;3;11;2
TAPERA;5;0;5;3;2;0;2;5;3;1;3;2
TAPES;8;6;3;3;5;3;3;4;8;2;5;3
TAQUARA;20;22;26;14;16;17;19;16;24;14;11;18
TAQUARI;16;6;7;4;10;8;7;10;9;12;5;6
TAQUARUCU DO SUL;0;1;1;0;1;0;0;0;0;0;3;1
TAVARES;0;1;0;1;1;0;0;2;2;0;1;1
TENENTE PORTELA;12;1;6;11;5;2;10;8;4;8;2;2
TERRA DE AREIA;7;5;3;2;5;3;2;1;3;4;6;2
TEUTONIA;10;9;14;11;8;3;8;2;4;5;5;9
TIO HUGO;1;0;1;0;0;0;0;0;1;0;1;0
TIRADENTES DO SUL;4;1;0;1;2;0;3;1;1;2;0;1
TOROPI;0;0;0;2;1;0;0;0;0;0;0;0
TORRES;22;11;16;17;19;9;11;22;15;12;13;17
TRAMANDAI;41;30;18;35;17;27;27;32;31;22;20;18
TRAVESSEIRO;0;0;0;0;0;0;0;0;0;0;0;0
TRES ARROIOS;0;1;0;0;2;0;0;0;0;0;0;0
TRES CACHOEIRAS;9;2;3;5;0;2;4;4;1;1;0;2
TRES COROAS;3;7;9;3;6;4;5;0;0;5;5;8
TRES DE MAIO;5;7;11;5;8;6;3;5;5;4;10;7
TRES FORQUILHAS;2;2;1;1;0;2;2;2;1;0;0;0
TRES PALMEIRAS;0;0;1;0;1;0;0;1;2;0;0;1
TRES PASSOS;13;9;11;9;12;15;13;9;17;11;15;16
TRINDADE DO SUL;3;0;3;2;0;1;0;1;2;1;6;1
TRIUNFO;10;6;8;6;5;2;3;11;3;9;3;6
TUCUNDUVA;1;1;2;2;4;3;1;1;0;0;1;0
TUNAS;2;0;0;5;0;2;1;1;2;0;0;1
TUPANCI DO SUL;0;0;0;0;0;0;0;1;0;0;0;0
TUPANCIRETA;3;1;6;3;10;8;3;4;4;5;4;1
TUPANDI;1;1;0;0;0;0;2;0;1;0;0;0
TUPARENDI;2;0;0;5;0;0;2;4;4;2;0;3
TURUCU;1;0;2;2;2;0;1;2;0;2;0;1
UBIRETAMA;0;0;0;0;0;0;0;0;0;0;0;2
UNIAO DA SERRA;0;0;0;1;1;1;0;0;1;0;1;0
UNISTALDA;0;0;0;0;0;0;0;2;0;0;0;0
URUGUAIANA;31;36;49;25;20;39;31;32;34;33;31;34
VACARIA;40;21;31;24;29;30;24;25;36;32;29;33
VALE DO SOL;2;3;1;0;0;0;2;0;3;0;1;0
VALE REAL;1;4;1;1;0;0;2;2;1;1;0;1
VALE VERDE;0;0;0;0;0;0;0;0;0;1;1;0
VANINI;0;0;0;0;0;0;0;0;0;0;0;2
VENANCIO AIRES;19;23;17;17;18;23;21;17;12;27;13;18
VERA CRUZ;8;6;7;4;4;5;9;1;10;11;7;8
VERANOPOLIS;9;2;9;5;4;1;2;6;1;1;1;4
VESPASIANO CORREA;1;0;2;1;1;1;0;1;1;1;0;1
VIADUTOS;6;0;3;1;0;2;2;2;6;0;1;2
VIAMAO;106;94;75;93;80;65;67;77;66;69;76;98
VICENTE DUTRA;4;2;2;3;2;4;3;2;3;0;1;3
VICTOR GRAEFF;0;1;0;0;0;2;0;1;1;1;0;0
VILA FLORES;0;1;2;0;0;1;0;0;1;0;1;0
VILA LANGARO;0;0;0;2;0;0;0;0;0;0;0;1
VILA MARIA;0;1;0;3;1;1;0;4;0;0;0;1
VILA NOVA DO SUL;0;1;1;0;1;0;2;1;2;1;0;1
VISTA ALEGRE;1;2;0;2;0;0;0;1;1;0;0;1
VISTA ALEGRE DO PRATA;0;0;0;1;0;0;0;0;1;0;0;0
VISTA GAUCHA;3;2;2;0;0;3;1;0;0;1;1;0
VITORIA DAS MISSOES;0;1;0;1;0;0;0;0;2;1;0;0
WESTFALIA;0;1;0;0;1;0;0;0;0;1;0;0
XANGRI-LA;5;3;7;6;4;1;6;4;5;11;7;9
NÃO INFORMADO;0;0;0;0;0;0;0;0;0;0;0;0
