CIDADES;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
SAO MIGUEL DAS MISSOES;3;0;0;1;0;0;0;1;0;1;0;2
SAO NICOLAU;1;0;0;0;0;0;1;2;1;0;0;0
SAO PAULO DAS MISSOES;0;0;0;0;0;0;0;0;0;0;1;0
SAO PEDRO DA SERRA;0;0;0;0;1;0;0;1;1;1;0;0
SAO PEDRO DAS MISSOES;0;1;0;0;0;0;0;2;0;0;0;0
SAO PEDRO DO BUTIA;0;0;0;0;1;0;0;0;0;0;0;0
SAO PEDRO DO SUL;3;0;3;1;1;2;0;1;2;0;2;1
SAO SEBASTIAO DO CAI;3;5;9;4;3;2;1;3;2;5;8;4
SAO SEPE;4;1;3;2;6;2;2;2;1;4;4;5
SAO VALENTIM;0;0;0;0;0;0;0;0;0;2;1;0
SAO VALENTIM DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
SAO VALERIO DO SUL;0;0;0;0;0;1;0;0;0;0;0;0
SAO VENDELINO;0;0;0;0;0;0;0;0;0;2;1;0
SAO VICENTE DO SUL;0;0;2;1;2;1;1;0;2;1;1;1
SAPIRANGA;21;9;8;13;4;8;20;10;13;10;22;15
SAPUCAIA DO SUL;24;29;24;19;16;13;18;22;18;22;18;22
SARANDI;3;3;1;3;2;1;2;1;1;3;8;3
SEBERI;0;2;3;1;0;1;1;4;2;2;1;1
SEDE NOVA;1;0;0;0;0;0;0;1;0;0;1;1
SEGREDO;0;0;1;1;2;0;1;1;1;1;0;1
SELBACH;0;0;0;1;0;0;0;1;1;1;1;0
SENADOR SALGADO FILHO;1;0;0;0;0;0;0;0;0;0;1;0
SENTINELA DO SUL;0;0;1;0;1;0;0;3;3;1;1;4
SERAFINA CORREA;6;2;3;0;0;1;3;1;1;3;3;1
SERIO;0;0;0;0;0;0;0;0;0;0;0;0
SERTAO;0;1;0;1;0;0;0;0;1;0;1;0
SERTAO SANTANA;1;2;0;0;0;0;1;0;0;0;0;2
SETE DE SETEMBRO;0;0;0;0;0;1;0;0;0;0;0;0
SEVERIANO DE ALMEIDA;0;0;0;1;3;0;0;0;0;0;0;1
SILVEIRA MARTINS;1;0;1;0;0;0;0;0;0;0;0;0
SINIMBU;0;0;1;0;1;0;0;2;0;1;0;3
SOBRADINHO;6;6;2;5;3;3;2;3;7;5;0;1
SOLEDADE;6;4;6;1;3;7;3;7;8;7;14;5
TABAI;0;0;0;0;0;0;0;0;0;0;0;1
TAPEJARA;3;3;0;4;3;1;3;2;1;1;1;6
TAPERA;1;0;1;3;1;1;0;2;4;1;3;4
TAPES;1;3;1;1;0;3;1;0;3;2;2;0
TAQUARA;5;9;15;13;10;4;14;8;16;10;8;12
TAQUARI;3;3;4;5;4;1;2;2;1;2;1;4
TAQUARUCU DO SUL;0;0;0;1;0;0;0;0;0;0;0;0
TAVARES;2;0;1;0;0;1;0;0;1;0;0;1
TENENTE PORTELA;3;1;5;1;6;5;1;4;5;0;1;5
TERRA DE AREIA;3;1;1;1;3;3;0;2;2;1;2;1
TEUTONIA;4;1;1;1;1;2;3;2;2;1;1;2
TIO HUGO;0;0;0;0;0;1;0;0;0;0;0;1
TIRADENTES DO SUL;1;0;0;0;0;0;0;0;0;0;0;0
TOROPI;0;0;1;0;0;0;0;0;0;1;0;0
TORRES;13;15;10;8;13;10;3;3;3;3;6;9
TRAMANDAI;29;24;14;22;10;3;15;11;10;14;7;16
TRAVESSEIRO;0;0;0;0;0;0;0;0;0;0;0;0
TRES ARROIOS;0;0;0;0;0;1;0;0;0;0;0;0
TRES CACHOEIRAS;0;1;1;1;1;0;1;0;0;1;0;0
TRES COROAS;10;3;3;7;4;3;1;3;7;5;10;6
TRES DE MAIO;0;3;2;2;1;4;1;1;2;1;5;3
TRES FORQUILHAS;0;0;1;0;0;1;0;0;0;0;0;0
TRES PALMEIRAS;0;0;1;1;1;1;0;0;0;0;1;1
TRES PASSOS;10;9;2;5;7;2;7;3;3;4;6;8
TRINDADE DO SUL;0;1;1;1;0;2;0;1;0;0;4;0
TRIUNFO;2;3;2;3;1;6;2;6;3;4;7;6
TUCUNDUVA;0;1;3;1;1;0;4;1;0;0;1;0
TUNAS;0;0;0;0;0;2;0;1;1;0;0;0
TUPANCI DO SUL;0;0;0;0;1;0;0;0;0;0;0;0
TUPANCIRETA;3;3;3;2;2;1;2;2;2;3;3;1
TUPANDI;1;1;0;0;0;1;0;0;0;0;0;2
TUPARENDI;0;0;1;0;0;0;2;1;0;0;0;0
TURUCU;1;0;0;1;0;1;0;0;0;1;0;0
UBIRETAMA;0;0;0;0;3;0;0;0;0;0;0;0
UNIAO DA SERRA;0;0;0;0;0;0;0;0;0;0;0;0
UNISTALDA;0;0;0;0;1;0;0;0;0;0;1;0
URUGUAIANA;32;26;30;21;29;16;20;23;19;31;31;24
VACARIA;18;13;12;16;20;20;13;15;15;15;18;20
VALE DO SOL;2;1;0;3;0;1;1;1;0;0;0;0
VALE REAL;0;0;0;0;0;1;0;1;0;2;0;0
VALE VERDE;0;0;0;0;0;0;0;0;0;0;0;0
VANINI;0;0;0;0;0;0;0;0;0;1;1;0
VENANCIO AIRES;6;9;9;1;3;9;7;12;6;9;3;14
VERA CRUZ;1;3;4;2;4;3;2;3;0;3;2;2
VERANOPOLIS;4;3;5;5;2;1;1;2;1;4;0;4
VESPASIANO CORREA;0;0;0;0;0;0;0;1;0;1;0;0
VIADUTOS;0;0;0;0;1;1;1;1;1;0;1;2
VIAMAO;42;51;51;42;27;48;46;34;45;38;64;42
VICENTE DUTRA;0;0;1;0;0;1;1;0;1;0;1;1
VICTOR GRAEFF;0;0;0;0;0;0;0;0;0;0;1;0
VILA FLORES;1;0;0;0;0;0;0;1;0;0;0;0
VILA LANGARO;0;0;0;0;0;0;0;0;0;0;0;0
VILA MARIA;0;3;0;0;3;0;0;0;0;0;0;0
VILA NOVA DO SUL;0;0;0;0;0;0;0;2;1;0;0;1
VISTA ALEGRE;0;0;0;1;0;1;0;0;0;0;0;0
VISTA ALEGRE DO PRATA;1;0;0;0;0;0;0;0;0;0;0;0
VISTA GAUCHA;0;0;0;0;0;0;0;1;0;0;0;1
VITORIA DAS MISSOES;0;0;0;0;0;0;0;1;0;1;0;0
WESTFALIA;0;0;0;0;0;0;0;0;1;0;0;0
XANGRI-LA;11;6;7;5;0;1;1;1;4;3;2;7
NÃO INFORMADO;0;0;0;0;0;0;0;0;0;0;0;0
